Path points with orientation:
        X        Y   orientation
  507.022  310.412        -1.411
  507.063  310.166        -1.406
  507.106  309.919        -1.400
  507.149  309.673        -1.395
  507.194  309.427        -1.389
  507.241  309.182        -1.384
  507.288  308.936        -1.379
  507.337  308.691        -1.374
  507.387  308.446        -1.369
  507.439  308.201        -1.364
  507.491  307.957        -1.360
  507.545  307.713        -1.355
  507.599  307.469        -1.350
  507.655  307.225        -1.346
  507.712  306.982        -1.341
  507.770  306.738        -1.337
  507.829  306.495        -1.333
  507.889  306.253        -1.329
  507.950  306.010        -1.324
  508.012  305.768        -1.320
  508.075  305.526        -1.317
  508.138  305.284        -1.313
  508.203  305.043        -1.309
  508.269  304.802        -1.305
  508.335  304.561        -1.302
  508.402  304.320        -1.298
  508.470  304.079        -1.295
  508.539  303.839        -1.292
  508.609  303.599        -1.288
  508.679  303.359        -1.285
  508.751  303.119        -1.282
  508.822  302.880        -1.279
  508.895  302.641        -1.276
  508.968  302.402        -1.274
  509.042  302.163        -1.271
  509.116  301.924        -1.268
  509.191  301.686        -1.266
  509.267  301.447        -1.263
  509.343  301.209        -1.261
  509.420  300.971        -1.259
  509.497  300.734        -1.257
  509.575  300.496        -1.255
  509.653  300.259        -1.253
  509.732  300.021        -1.251
  509.811  299.784        -1.249
  509.891  299.547        -1.247
  509.971  299.310        -1.245
  510.051  299.073        -1.244
  510.131  298.837        -1.242
  510.212  298.600        -1.241
  510.294  298.364        -1.240
  510.375  298.128        -1.238
  510.457  297.891        -1.237
  510.539  297.655        -1.236
  510.622  297.419        -1.235
  510.704  297.183        -1.234
  510.787  296.947        -1.233
  510.870  296.711        -1.233
  510.953  296.476        -1.232
  511.036  296.240        -1.232
  511.119  296.004        -1.231
  511.203  295.769        -1.231
  511.286  295.533        -1.230
  511.370  295.297        -1.230
  511.453  295.062        -1.230
  511.537  294.826        -1.230
  511.620  294.590        -1.230
  511.704  294.355        -1.230
  511.787  294.119        -1.230
  511.871  293.883        -1.231
  511.954  293.648        -1.231
  512.037  293.412        -1.232
  512.120  293.176        -1.232
  512.203  292.940        -1.233
  512.286  292.704        -1.234
  512.368  292.468        -1.234
  512.451  292.232        -1.235
  512.533  291.996        -1.236
  512.615  291.760        -1.237
  512.696  291.524        -1.238
  512.777  291.287        -1.240
  512.858  291.051        -1.241
  512.939  290.814        -1.242
  513.019  290.577        -1.244
  513.099  290.340        -1.245
  513.179  290.103        -1.247
  513.258  289.866        -1.249
  513.337  289.629        -1.251
  513.415  289.391        -1.252
  513.493  289.154        -1.254
  513.570  288.916        -1.256
  513.647  288.678        -1.259
  513.723  288.440        -1.261
  513.799  288.202        -1.263
  513.874  287.963        -1.265
  513.949  287.725        -1.268
  514.022  287.486        -1.270
  514.096  287.247        -1.273
  514.168  287.008        -1.276
  514.241  286.768        -1.279
  514.312  286.529        -1.281
  514.382  286.289        -1.284
  514.452  286.049        -1.287
  514.522  285.809        -1.291
  514.590  285.568        -1.294
  514.658  285.328        -1.297
  514.724  285.087        -1.300
  514.790  284.846        -1.304
  514.855  284.604        -1.307
  514.920  284.363        -1.311
  514.983  284.121        -1.315
  515.046  283.879        -1.318
  515.107  283.636        -1.322
  515.168  283.394        -1.326
  515.227  283.151        -1.330
  515.286  282.908        -1.334
  515.344  282.665        -1.338
  515.400  282.421        -1.342
  515.456  282.177        -1.347
  515.510  281.933        -1.351
  515.564  281.689        -1.356
  515.616  281.445        -1.360
  515.667  281.200        -1.365
  515.717  280.955        -1.369
  515.766  280.710        -1.374
  515.813  280.464        -1.379
  515.860  280.219        -1.384
  515.905  279.973        -1.389
  515.949  279.727        -1.394
  515.992  279.481        -1.399
  516.033  279.234        -1.404
  516.073  278.987        -1.410
  516.112  278.740        -1.415
  516.149  278.493        -1.421
  516.185  278.246        -1.426
  516.220  277.998        -1.432
  516.253  277.750        -1.437
